	fullname	id	likes	replies	retweets	text	timestamp	url	user	sentiment score
373	james taylor	887824371993255936	0	0	0	In Interview, Trump Expresses Anger at Sessions and Comey, and Warns Mueller http://fb.me/8SLPoikwX 	2017-07-19 23:59:59	/jtprov/status/887824371993255936	jtprov	-0.7
374	But Her Emails!	887824371942817792	0	0	0	But her emails!!!!!!!!!!!!!!!!!!!!!!!! #ButHerEmails #Comey #Clinton #Trump	2017-07-19 23:59:59	/butheremailsbot/status/887824371942817792	butheremailsbot	0.0
375	Jake Tapper	887823874771099648	581	223	288	Trump says he wouldn't have picked Sessions if he knew he'd recuse himself http://www.cnn.com/2017/07/19/politics/donald-trump-interview-jeff-sessions/index.html …	2017-07-19 23:58:01	/jaketapper/status/887823874771099648	jaketapper	0.0
376	Steven Lee Myers	887820408916922368	247	39	137	“I’m not under investigation. For what? I didn’t do anything wrong.” Trump to @peterbakernyt, @maggieNYT & @nytmike https://www.nytimes.com/2017/07/19/us/politics/trump-interview-sessions-russia.html …	2017-07-19 23:44:15	/stevenleemyers/status/887820408916922369	stevenleemyers	-0.5
377	Washington Post	887747935819243520	4228	1289	5923	Trump ends the CIA’s covert program of arming anti-Assad rebels in Syria, a move likely to please Russia http://wapo.st/2ubqXXG 	2017-07-19 18:56:16	/washingtonpost/status/887747935819243522	washingtonpost	0.0
378	Roque Castro	887816091845767168	19	1	57	Falta que salga Ramos Allup en pleno con MUD declarando que están en contra de sanciones de Trump contra Maduro porque ya se arreglaron. NMJ	2017-07-19 23:27:05	/_RoqueCastro/status/887816091845767168	_RoqueCastro	0.0
379	The New York Times	887817906096132096	3659	995	3292	Trump said he wouldn't have appointed Jeff Sessions if he'd known Sessions would recuse himself on Russia http://nyti.ms/2trWWnZ 	2017-07-19 23:34:18	/nytimes/status/887817906096132097	nytimes	0.0
380	Scott Dworkin	887823746836434944	3369	447	3421	"EVERYONE IN AMERICA NEEDS TO READ THIS IMMEDIATELY!

Trump just threatened Robert Mueller & his team. #TrumpRussia
https://mobile.nytimes.com/2017/07/19/us/politics/trump-interview-sessions-russia.html?action=Click&contentCollection=BreakingNews&contentID=65596145&pgtype=article&referer=https://t.co/dhCcHfgrf2 …"	2017-07-19 23:57:30	/funder/status/887823746836434944	funder	0.0
381	Chris O'Falt	887824370948820992	0	0	0	Dystopia becoming the dominant genre of the Trump era is limiting. Stories that empower minority characters = more effective & subversive. https://twitter.com/akstanwyck/status/887807446722289666 …	2017-07-19 23:59:59	/cofalt/status/887824370948820992	cofalt	0.5166666666666666
382	Muckmaker	887822445851414528	104	5	160	Pro-Trump TV pundit’s firm took undisclosed payments from Trump campaign http://wapo.st/2tIv0at?tid=ss_tw&utm_term=.8addbf82552e …	2017-07-19 23:52:20	/RealMuckmaker/status/887822445851414528	RealMuckmaker	-0.2
383	Paula Chertok 🗽	887806893443371008	20	2	20	We'll never know if this Syria concession to Russia resulted from Trump-Putin meeting2 bc no American present. This is why meeting was wrong https://twitter.com/washingtonpost/status/887747935819243522 …	2017-07-19 22:50:32	/PaulaChertok/status/887806893443371008	PaulaChertok	-0.16666666666666666
384	Scott Dworkin	887819599013654528	822	56	794	"Neither can we Don Jr., neither can we. #TheResistance

RT if u can't wait for Trump's fake presidency to be over!
 https://twitter.com/i/moments/887715868079161344 …"	2017-07-19 23:41:01	/funder/status/887819599013654528	funder	-0.625
385	Bradd Jaffy	887802809558740992	6458	350	5179	NYT: Paul Manafort was in debt to pro-Russia interests by as much as $17 million before he joined the Trump campaign http://nyti.ms/2uKqNrO 	2017-07-19 22:34:19	/BraddJaffy/status/887802809558740993	BraddJaffy	0.2
386	Leo M. Mara	887824370269265920	0	0	0	No #WealthCare for #tRump and the 1%. How will they try to enrich themselves next #LiarInChief #ThiefInChief #RacistInChief #ImpeachTheChief	2017-07-19 23:59:59	/ProVega350/status/887824370269265922	ProVega350	0.0
387	George Takei	887765014924455936	8272	305	3584	Just so we're clear, the head of Donald's own election integrity commission just questioned the legitimacy of Trump's election as president. https://twitter.com/MSNBC/status/887750419509788672 …	2017-07-19 20:04:08	/GeorgeTakei/status/887765014924455938	GeorgeTakei	0.35
388	Matthew Yglesias	887809157885251584	8726	234	3014	It's weird that despite being heavily in debt to pro-Russian interests, Manafort volunteered to work for free for Trump.	2017-07-19 22:59:32	/mattyglesias/status/887809157885251584	mattyglesias	-0.09999999999999998
389	gloomhauer	887824370088816640	0	0	0	It would be the 2nd best thing Trump has done if he does.	2017-07-19 23:59:59	/gloomhauer/status/887824370088816640	gloomhauer	0.5
390	Kurt Eichenwald	887822439224356864	1619	69	812	"Kobach made clear: Key job of ""vote fraud"" commission is to find way to say Trump won popular vote to primp his ego. Good use of tax $."	2017-07-19 23:52:19	/kurteichenwald/status/887822439224356871	kurteichenwald	0.35
